,suhu,kelembaban,jam,kadar_gas,status_kematangan
85,29.32,81.61,26,0.01,belum matang
86,27.32,81.98,27,0.01,belum matang
87,28.31,82.92,28,0.0,belum matang
88,28.72,83.07,29,0.02,belum matang
89,28.22,83.75,30,0.1,belum matang
90,28.45,84.12,31,0.13,belum matang
91,28.64,84.56,32,0.08,belum matang
92,28.99,85.22,33,0.29,belum matang
93,28.32,86.07,34,0.0,belum matang
94,28.86,86.33,35,0.18,belum matang
95,28.63,86.73,36,0.11,belum matang
96,28.64,87.5,37,0.21,belum matang
97,28.59,88.05,38,0.22,belum matang
98,29.34,88.52,39,0.12,belum matang
99,28.66,89.05,40,0.28,belum matang
100,28.93,89.4,41,0.37,belum matang
101,28.64,89.93,42,0.24,belum matang
102,28.83,90.46,43,0.37,belum matang
103,29.34,90.88,44,0.31,matang
104,29.28,90.91,45,0.36,matang
105,28.87,91.31,46,0.42,matang
106,28.53,92.0,47,0.29,matang
107,28.33,92.07,48,0.5,matang
108,29.25,92.2,49,0.46,matang
109,28.49,92.29,50,0.43,matang
110,29.42,92.43,51,0.45,terlalu matang
111,28.78,92.7,52,0.52,terlalu matang
112,28.53,92.81,53,0.65,terlalu matang
113,28.68,92.79,54,0.71,terlalu matang
114,28.21,92.72,55,0.67,terlalu matang
115,28.83,93.15,56,0.95,terlalu matang
116,29.37,93.14,57,0.87,terlalu matang
117,28.44,93.24,58,0.91,terlalu matang
118,29.1,93.14,59,1.07,terlalu matang
119,29.7,93.34,60,1.14,terlalu matang
120,29.69,78.15,1,0.01,belum matang
121,30.13,78.16,2,0.02,belum matang
122,30.09,78.08,3,0.02,belum matang
123,30.49,78.55,4,0.01,belum matang
124,30.38,77.92,5,0.01,belum matang
125,29.81,77.97,6,0.02,belum matang
126,28.98,77.89,7,0.01,belum matang
127,30.18,78.5,8,0.01,belum matang
128,30.63,78.49,9,0.01,belum matang
129,29.85,78.34,10,0.01,belum matang
130,29.34,78.52,11,0.01,belum matang
131,30.03,78.57,12,0.0,belum matang
132,29.44,78.56,13,0.01,belum matang
133,30.02,78.73,14,0.02,belum matang
134,30.05,78.7,15,0.0,belum matang
135,29.21,78.98,16,0.02,belum matang
136,30.66,78.83,17,0.01,belum matang
137,30.01,79.54,18,0.01,belum matang
138,30.67,79.33,19,0.02,belum matang
139,30.4,79.51,20,0.0,belum matang
140,29.76,79.98,21,0.01,belum matang
141,29.67,79.85,22,0.0,belum matang
142,30.61,80.35,23,0.01,belum matang
143,29.99,80.03,24,0.01,belum matang
144,30.56,80.98,25,0.01,belum matang
145,29.88,81.3,26,0.01,belum matang
146,29.06,81.52,27,0.01,belum matang
147,30.45,81.65,28,0.01,belum matang
148,29.85,82.16,29,0.01,belum matang
149,30.26,82.8,30,0.31,belum matang
150,29.73,83.27,31,0.06,belum matang
151,29.48,83.78,32,0.0,belum matang
152,29.79,84.44,33,0.0,belum matang
153,29.84,85.0,34,0.19,belum matang
154,30.49,85.72,35,0.09,belum matang
155,29.52,86.23,36,0.11,belum matang
156,29.28,87.14,37,0.14,belum matang
157,29.58,86.77,38,0.27,belum matang
158,29.4,87.74,39,0.3,belum matang
159,29.4,88.25,40,0.37,belum matang
160,28.66,88.55,41,0.15,belum matang
161,29.8,89.15,42,0.16,belum matang
162,29.56,89.42,43,0.25,belum matang
163,30.0,90.14,44,0.41,matang
164,30.22,90.14,45,0.33,matang
165,31.08,90.83,46,0.32,matang
166,30.68,90.84,47,0.32,matang
167,30.59,90.92,48,0.23,matang
168,30.36,91.42,49,0.47,matang
169,29.71,91.57,50,0.45,terlalu matang
170,29.58,91.72,51,0.5,terlalu matang
171,29.48,91.85,52,0.33,terlalu matang
172,30.23,92.18,53,0.62,terlalu matang
173,30.01,92.28,54,0.61,terlalu matang
174,29.62,92.44,55,0.76,terlalu matang
175,30.91,92.76,56,0.89,terlalu matang
176,29.51,92.4,57,0.77,terlalu matang
177,30.03,92.04,58,0.89,terlalu matang
178,29.74,92.34,59,1.1,terlalu matang
179,29.32,92.76,60,1.38,terlalu matang
180,28.51,78.51,1,0.01,belum matang
181,27.44,78.75,2,0.02,belum matang
182,26.77,78.5,3,0.01,belum matang
183,27.91,78.75,4,0.01,belum matang
184,28.05,78.67,5,0.02,belum matang
185,28.14,78.8,6,0.01,belum matang
186,27.77,78.67,7,0.01,belum matang
187,27.8,78.85,8,0.02,belum matang
188,28.45,78.77,9,0.02,belum matang
189,27.81,78.47,10,0.0,belum matang
190,27.07,78.87,11,0.01,belum matang
191,28.85,79.06,12,0.01,belum matang
192,28.42,78.63,13,0.01,belum matang
193,28.4,78.86,14,0.02,belum matang
194,28.18,79.17,15,0.01,belum matang
195,29.15,79.39,16,0.01,belum matang
196,27.78,79.31,17,0.01,belum matang
197,27.58,79.64,18,0.01,belum matang
198,28.25,79.85,19,0.02,belum matang
199,27.75,79.91,20,0.01,belum matang
200,27.79,80.25,21,0.01,belum matang
201,27.55,80.58,22,0.02,belum matang
202,28.22,81.04,23,0.01,belum matang
203,27.39,80.6,24,0.02,belum matang
204,28.34,81.26,25,0.01,belum matang
205,27.45,82.11,26,0.01,belum matang
206,28.06,82.15,27,0.01,belum matang
207,28.12,82.27,28,0.01,belum matang
208,28.95,83.14,29,0.02,belum matang
209,27.75,83.15,30,0.09,belum matang
210,28.04,84.07,31,0.0,belum matang
211,28.77,84.35,32,0.07,belum matang
212,27.5,84.59,33,0.21,belum matang
213,28.05,85.22,34,0.01,belum matang
214,27.84,86.37,35,0.12,belum matang
215,27.26,86.55,36,0.13,belum matang
216,26.66,87.14,37,0.15,belum matang
217,28.36,88.07,38,0.3,belum matang
218,27.88,88.0,39,0.46,matang
219,28.04,88.73,40,0.22,matang
220,28.11,89.17,41,0.18,matang
221,27.74,89.64,42,0.21,matang
222,27.65,90.09,43,0.26,matang
223,28.76,89.92,44,0.42,matang
224,28.63,90.39,45,0.3,terlalu matang
225,27.82,90.84,46,0.28,terlalu matang
226,27.45,91.76,47,0.48,terlalu matang
227,28.65,91.81,48,0.31,terlalu matang
228,27.75,92.0,49,0.34,terlalu matang
229,28.37,92.06,50,0.46,terlalu matang
230,28.37,92.38,51,0.5,terlalu matang
231,28.59,92.24,52,0.64,terlalu matang
232,28.31,92.53,53,0.66,terlalu matang
233,27.38,92.9,54,0.66,terlalu matang
234,27.75,93.04,55,0.67,terlalu matang
235,27.31,92.61,56,0.86,terlalu matang
236,27.37,93.36,57,0.66,terlalu matang
237,28.86,93.12,58,0.93,terlalu matang
238,27.74,93.22,59,1.01,terlalu matang
239,28.56,93.22,60,1.12,terlalu matang
240,28.6,80.5,1,0.01,belum matang
241,27.98,80.66,2,0.0,belum matang
242,28.9,81.06,3,0.01,belum matang
243,28.39,80.78,4,0.02,belum matang
244,29.41,80.5,5,0.01,belum matang
245,28.55,80.89,6,0.01,belum matang
246,27.44,80.69,7,0.01,belum matang
247,27.91,80.91,8,0.0,belum matang
248,28.23,81.1,9,0.01,belum matang
249,28.91,80.53,10,0.02,belum matang
250,28.47,80.95,11,0.01,belum matang
251,28.93,80.69,12,0.01,belum matang
252,28.3,80.73,13,0.01,belum matang
253,28.45,81.2,14,0.01,belum matang
254,28.46,81.64,15,0.01,belum matang
255,27.85,81.27,16,0.01,belum matang
256,28.89,81.26,17,0.01,belum matang
257,27.74,81.85,18,0.0,belum matang
258,28.51,81.99,19,0.01,belum matang
259,29.03,82.09,20,0.02,belum matang
260,29.16,82.08,21,0.01,belum matang
261,27.86,82.39,22,0.01,belum matang
262,28.69,82.75,23,0.01,belum matang
263,29.19,82.93,24,0.01,belum matang
264,29.07,82.99,25,0.01,belum matang
265,28.1,83.88,26,0.01,belum matang
266,28.69,84.09,27,0.0,belum matang
267,28.3,84.63,28,0.01,belum matang
268,28.77,84.6,29,0.01,belum matang
269,28.98,85.36,30,0.22,belum matang
270,28.28,85.75,31,0.0,belum matang
271,29.08,86.44,32,0.0,belum matang
272,27.75,86.74,33,0.21,belum matang
273,28.47,87.31,34,0.04,belum matang
274,28.1,87.65,35,0.03,belum matang
275,28.09,88.73,36,0.15,belum matang
276,28.21,89.61,37,0.11,belum matang
277,29.21,90.02,38,0.03,belum matang
278,28.66,90.12,39,0.15,belum matang
279,28.9,90.6,40,0.17,belum matang
280,28.54,91.12,41,0.12,belum matang
281,29.02,91.86,42,0.3,matang
282,28.44,91.92,43,0.21,matang
283,29.8,92.63,44,0.22,matang
284,28.71,92.73,45,0.39,matang
285,28.9,93.33,46,0.27,matang
286,28.68,93.06,47,0.26,matang
287,29.07,93.48,48,0.34,terlalu matang
288,28.62,94.04,49,0.35,terlalu matang
289,26.88,93.93,50,0.62,terlalu matang
290,28.8,94.55,51,0.42,terlalu matang
291,27.81,94.54,52,0.61,terlalu matang
292,28.78,94.78,53,0.67,terlalu matang
293,28.83,94.86,54,0.73,terlalu matang
294,29.05,95.02,55,0.89,terlalu matang
295,28.3,95.01,56,0.76,terlalu matang
296,28.21,94.86,57,0.92,terlalu matang
297,28.83,95.15,58,0.92,terlalu matang
298,28.63,95.3,59,0.87,terlalu matang
299,28.64,95.21,60,1.18,terlalu matang
300,29.46,78.83,1,0.01,belum matang
301,29.48,78.66,2,0.01,belum matang
302,29.12,78.59,3,0.02,belum matang
303,28.83,78.6,4,0.01,belum matang
304,29.94,78.29,5,0.01,belum matang
305,29.53,78.93,6,0.01,belum matang
306,29.06,79.03,7,0.0,belum matang
307,28.24,78.77,8,0.01,belum matang
308,28.83,78.87,9,0.01,belum matang
309,29.06,78.52,10,0.01,belum matang
310,29.66,78.81,11,0.02,belum matang
311,28.8,78.58,12,0.01,belum matang
312,29.32,79.01,13,0.01,belum matang
313,29.52,78.79,14,0.02,belum matang
314,29.3,79.36,15,0.01,belum matang
315,29.57,79.36,16,0.01,belum matang
316,29.66,79.64,17,0.01,belum matang
317,29.69,79.5,18,0.02,belum matang
318,29.0,80.04,19,0.01,belum matang
319,28.62,79.88,20,0.01,belum matang
320,29.76,79.93,21,0.01,belum matang
321,28.39,80.21,22,0.0,belum matang
322,28.55,80.71,23,0.01,belum matang
323,29.55,80.65,24,0.01,belum matang
324,29.34,80.93,25,0.02,belum matang
325,29.78,81.47,26,0.01,belum matang
326,29.44,81.49,27,0.01,belum matang
327,29.0,82.12,28,0.01,belum matang
328,30.24,82.89,29,0.01,belum matang
329,29.63,83.52,30,0.19,belum matang
330,29.37,83.61,31,0.18,belum matang
331,29.54,84.45,32,0.18,belum matang
332,29.86,84.7,33,0.26,belum matang
333,29.44,85.78,34,0.07,belum matang
334,30.21,85.97,35,0.08,belum matang
335,29.1,86.43,36,0.2,belum matang
336,29.6,86.93,37,0.17,belum matang
337,30.41,87.93,38,0.23,belum matang
338,29.36,88.14,39,0.27,belum matang
339,28.83,88.56,40,0.06,matang
340,29.54,89.22,41,0.19,matang
341,30.13,89.29,42,0.11,matang
342,29.45,90.17,43,0.45,matang
343,29.11,90.56,44,0.3,matang
344,29.25,90.87,45,0.4,matang
345,28.55,91.31,46,0.5,matang
346,29.03,91.38,47,0.44,terlalu matang
347,29.47,91.45,48,0.35,terlalu matang
348,29.33,92.03,49,0.51,terlalu matang
349,29.15,92.15,50,0.21,terlalu matang
350,29.91,91.83,51,0.5,terlalu matang
351,28.78,92.08,52,0.7,terlalu matang
352,29.11,92.55,53,0.62,terlalu matang
353,29.58,92.62,54,0.55,terlalu matang
354,29.84,92.62,55,0.58,terlalu matang
355,29.13,93.11,56,0.89,terlalu matang
356,29.17,92.82,57,0.83,terlalu matang
357,30.38,93.04,58,0.98,terlalu matang
358,29.85,93.08,59,0.99,terlalu matang
359,29.24,93.07,60,1.1,terlalu matang
360,27.39,79.86,1,0.01,belum matang
361,27.07,79.92,2,0.01,belum matang
362,27.59,79.9,3,0.02,belum matang
363,26.32,80.54,4,0.01,belum matang
364,27.57,79.79,5,0.01,belum matang
365,27.5,79.87,6,0.02,belum matang
366,27.28,80.14,7,0.01,belum matang
367,27.35,80.47,8,0.01,belum matang
368,27.52,80.02,9,0.01,belum matang
369,27.47,80.24,10,0.0,belum matang
370,27.7,79.99,11,0.02,belum matang
371,26.98,80.33,12,0.02,belum matang
372,27.24,80.41,13,0.02,belum matang
373,27.65,80.5,14,0.0,belum matang
374,26.9,80.73,15,0.01,belum matang
375,27.73,80.76,16,0.02,belum matang
376,27.24,80.78,17,0.0,belum matang
377,26.73,80.57,18,0.01,belum matang
378,28.14,80.75,19,0.01,belum matang
379,26.72,81.12,20,0.01,belum matang
380,27.02,81.66,21,0.02,belum matang
381,26.24,81.54,22,0.01,belum matang
382,27.93,81.85,23,0.01,belum matang
383,26.79,81.92,24,0.02,belum matang
384,26.45,83.01,25,0.01,belum matang
385,27.71,83.01,26,0.01,belum matang
386,27.56,83.24,27,0.01,belum matang
387,27.35,83.51,28,0.01,belum matang
388,26.87,84.34,29,0.01,belum matang
389,26.41,84.7,30,0.25,belum matang
390,27.75,85.0,31,0.0,belum matang
391,27.3,85.62,32,0.02,belum matang
392,27.64,86.56,33,0.15,belum matang
393,27.45,86.56,34,0.28,belum matang
394,27.33,87.19,35,0.16,belum matang
395,27.6,87.9,36,0.28,belum matang
396,27.56,88.37,37,0.22,belum matang
397,27.62,88.71,38,0.3,belum matang
398,27.22,89.44,39,0.28,belum matang
399,27.74,89.86,40,0.3,belum matang
400,27.09,90.84,41,0.16,belum matang
401,27.49,90.76,42,0.48,belum matang
402,26.75,91.44,43,0.21,belum matang
403,27.19,91.81,44,0.43,matang
404,28.18,91.77,45,0.36,matang
405,28.1,92.06,46,0.39,matang
406,27.37,92.76,47,0.31,matang
407,26.65,92.56,48,0.52,matang
408,27.92,93.23,49,0.4,matang
409,26.55,93.49,50,0.39,terlalu matang
410,27.01,93.44,51,0.52,terlalu matang
411,26.99,93.73,52,0.52,terlalu matang
412,27.72,94.07,53,0.64,terlalu matang
413,27.6,94.41,54,0.56,terlalu matang
414,26.75,94.24,55,0.93,terlalu matang
415,27.24,94.54,56,0.81,terlalu matang
416,27.03,94.08,57,0.93,terlalu matang
417,26.91,94.36,58,1.1,terlalu matang
418,27.21,94.67,59,0.9,terlalu matang
419,27.1,94.18,60,1.11,terlalu matang
420,28.66,80.52,1,0.01,belum matang
421,28.49,80.74,2,0.01,belum matang
422,28.17,80.35,3,0.0,belum matang
423,28.82,80.42,4,0.0,belum matang
424,28.76,81.16,5,0.01,belum matang
425,28.98,80.7,6,0.01,belum matang
426,29.02,80.66,7,0.01,belum matang
427,28.72,80.62,8,0.01,belum matang
428,28.48,80.64,9,0.01,belum matang
429,28.11,80.84,10,0.01,belum matang
430,29.11,80.99,11,0.01,belum matang
431,28.97,81.23,12,0.01,belum matang
432,28.57,80.77,13,0.0,belum matang
433,28.41,80.99,14,0.01,belum matang
434,28.59,81.31,15,0.01,belum matang
435,28.81,81.33,16,0.0,belum matang
436,28.09,81.41,17,0.0,belum matang
437,28.86,81.89,18,0.02,belum matang
438,28.46,82.04,19,0.01,belum matang
439,28.39,81.8,20,0.01,belum matang
440,28.37,82.16,21,0.01,belum matang
441,28.56,82.45,22,0.02,belum matang
442,29.04,82.33,23,0.0,belum matang
443,29.03,82.64,24,0.01,belum matang
444,27.98,82.87,25,0.01,belum matang
445,28.94,83.47,26,0.0,belum matang
446,28.29,84.04,27,0.0,belum matang
447,28.65,84.38,28,0.01,belum matang
448,28.62,84.64,29,0.02,belum matang
449,28.48,85.3,30,0.01,belum matang
450,28.34,85.63,31,0.09,belum matang
451,29.42,86.06,32,0.0,belum matang
452,29.3,86.84,33,0.06,belum matang
453,29.08,87.31,34,0.32,belum matang
454,28.9,87.9,35,0.36,belum matang
455,28.26,88.7,36,0.19,belum matang
456,29.21,89.42,37,0.18,belum matang
457,28.19,89.75,38,0.12,belum matang
458,29.57,90.21,39,0.17,belum matang
459,28.66,90.41,40,0.13,belum matang
460,29.16,91.03,41,0.14,belum matang
461,28.83,91.84,42,0.33,belum matang
462,29.06,91.87,43,0.14,belum matang
463,29.31,92.34,44,0.28,matang
464,29.23,92.87,45,0.38,matang
465,29.65,92.95,46,0.45,matang
466,28.59,93.42,47,0.54,matang
467,28.82,93.73,48,0.53,matang
468,28.38,93.69,49,0.35,matang
469,27.58,94.48,50,0.38,matang
470,28.45,94.19,51,0.57,matang
471,28.97,94.58,52,0.52,terlalu matang
472,28.48,94.61,53,0.6,terlalu matang
473,29.37,94.77,54,0.76,terlalu matang
474,28.89,95.02,55,0.76,terlalu matang
475,27.91,94.96,56,0.74,terlalu matang
476,28.3,95.08,57,0.99,terlalu matang
477,28.57,95.09,58,1.11,terlalu matang
478,28.68,95.62,59,1.07,terlalu matang
479,27.68,95.3,60,1.14,terlalu matang
480,28.72,78.29,1,0.01,belum matang
481,29.03,78.06,2,0.01,belum matang
482,27.68,78.3,3,0.02,belum matang
483,28.13,77.96,4,0.01,belum matang
484,29.11,77.91,5,0.0,belum matang
485,28.16,78.06,6,0.01,belum matang
486,27.34,78.38,7,0.01,belum matang
487,27.54,78.59,8,0.02,belum matang
488,28.01,78.57,9,0.01,belum matang
489,28.48,78.21,10,0.02,belum matang
490,28.24,78.46,11,0.01,belum matang
491,29.32,78.88,12,0.02,belum matang
492,28.86,78.45,13,0.01,belum matang
493,28.38,78.92,14,0.02,belum matang
494,28.06,78.94,15,0.01,belum matang
495,27.0,79.02,16,0.01,belum matang
496,27.94,78.81,17,0.01,belum matang
497,28.62,78.85,18,0.01,belum matang
498,28.67,79.66,19,0.0,belum matang
499,28.21,79.52,20,0.02,belum matang
500,28.23,79.91,21,0.0,belum matang
501,27.76,79.98,22,0.0,belum matang
502,27.8,80.06,23,0.01,belum matang
503,27.44,80.49,24,0.02,belum matang
504,28.29,80.7,25,0.01,belum matang
505,28.29,81.4,26,0.0,belum matang
506,28.36,81.55,27,0.01,belum matang
507,26.95,81.89,28,0.01,belum matang
508,28.77,82.44,29,0.0,belum matang
509,28.58,82.73,30,0.14,belum matang
510,28.45,83.16,31,0.02,belum matang
511,28.56,83.83,32,0.03,belum matang
512,27.92,84.36,33,0.28,belum matang
513,28.12,84.97,34,0.15,belum matang
514,27.82,85.18,35,0.05,belum matang
515,28.51,86.12,36,0.23,belum matang
516,28.43,86.63,37,0.11,belum matang
517,28.83,87.01,38,0.08,belum matang
518,28.67,87.46,39,0.45,belum matang
519,28.42,88.29,40,0.14,belum matang
520,28.23,88.62,41,0.19,belum matang
521,28.7,89.06,42,0.36,belum matang
522,29.72,89.51,43,0.3,belum matang
523,28.57,90.31,44,0.3,belum matang
524,27.97,90.05,45,0.33,matang
525,28.16,91.02,46,0.54,matang
526,27.87,90.77,47,0.4,matang
527,29.08,91.18,48,0.36,matang
528,28.36,91.28,49,0.52,matang
529,28.03,91.5,50,0.61,matang
530,28.0,91.5,51,0.55,terlalu matang
531,28.2,92.05,52,0.61,terlalu matang
532,28.37,92.08,53,0.56,terlalu matang
533,28.43,92.39,54,0.58,terlalu matang
534,28.38,92.53,55,0.79,terlalu matang
535,29.04,92.31,56,0.62,terlalu matang
536,28.48,92.58,57,1.0,terlalu matang
537,28.98,92.68,58,1.02,terlalu matang
538,28.29,92.39,59,1.03,terlalu matang
539,28.88,92.82,60,1.19,terlalu matang
540,27.66,81.94,1,0.01,belum matang
541,28.04,82.45,2,0.0,belum matang
542,27.84,82.34,3,0.01,belum matang
543,28.06,81.86,4,0.01,belum matang
544,27.74,82.3,5,0.02,belum matang
545,29.13,82.24,6,0.01,belum matang
546,27.93,82.09,7,0.01,belum matang
547,27.68,82.22,8,0.02,belum matang
548,27.33,82.46,9,0.02,belum matang
549,27.77,81.85,10,0.01,belum matang
550,28.48,82.33,11,0.01,belum matang
551,27.58,82.56,12,0.01,belum matang
552,27.71,82.39,13,0.01,belum matang
553,27.37,82.87,14,0.01,belum matang
554,28.44,82.95,15,0.01,belum matang
555,27.61,82.84,16,0.01,belum matang
556,27.38,82.94,17,0.0,belum matang
557,28.42,82.93,18,0.01,belum matang
558,27.97,83.13,19,0.01,belum matang
559,27.59,83.54,20,0.0,belum matang
560,27.89,83.96,21,0.0,belum matang
561,27.49,83.91,22,0.01,belum matang
562,28.01,84.16,23,0.01,belum matang
563,28.39,84.43,24,0.01,belum matang
564,28.17,85.05,25,0.01,belum matang
565,27.34,85.24,26,0.01,belum matang
566,26.74,85.58,27,0.01,belum matang
567,27.79,85.89,28,0.01,belum matang
568,28.19,86.18,29,0.01,belum matang
569,27.7,86.89,30,0.16,belum matang
570,27.36,87.47,31,0.05,belum matang
571,28.23,87.85,32,0.3,belum matang
572,27.72,88.25,33,0.13,belum matang
573,27.68,89.03,34,0.0,belum matang
574,27.3,89.22,35,0.24,belum matang
575,28.69,89.97,36,0.14,belum matang
576,27.87,90.78,37,0.08,belum matang
577,27.95,91.29,38,0.24,belum matang
578,27.93,91.82,39,0.0,belum matang
579,28.17,91.99,40,0.04,belum matang
580,28.09,92.87,41,0.23,belum matang
581,28.31,93.37,42,0.39,matang
582,28.65,93.61,43,0.29,matang
583,27.03,93.8,44,0.22,matang
584,28.92,94.16,45,0.34,matang
585,28.11,94.53,46,0.53,matang
586,27.52,94.85,47,0.32,matang
587,27.17,94.94,48,0.42,matang
588,27.62,95.16,49,0.32,terlalu matang
589,27.79,95.2,50,0.57,terlalu matang
590,27.87,95.39,51,0.51,terlalu matang
591,27.45,95.91,52,0.72,terlalu matang
592,26.89,96.01,53,0.61,terlalu matang
593,28.17,96.16,54,0.61,terlalu matang
594,27.67,96.06,55,0.85,terlalu matang
595,27.84,96.7,56,0.79,terlalu matang
596,27.48,96.1,57,0.69,terlalu matang
597,27.04,96.53,58,0.99,terlalu matang
598,27.04,96.71,59,0.97,terlalu matang
599,27.9,96.91,60,1.19,terlalu matang
600,28.602678876681292,93.71024353424376,48,0.4410959040968918,matang
601,28.646368085312044,93.71421528048292,48,0.4589687621731085,matang
602,27.933282312528476,91.87540884350253,43,0.2991823129949885,matang
603,28.94797863499092,90.13429564388964,43,0.4012021365009082,matang
604,29.18814552834895,91.00696347294162,45,0.3646545876279717,matang
605,28.64155497356322,89.93949095371745,44,0.4065062628109996,matang
606,28.26012578151709,91.23079111898336,46,0.4925719982287481,matang
607,28.046164238441133,92.59917880779432,49,0.581361092759132,matang
608,28.095467041611993,89.07864997584683,40,0.1883045476502889,matang
609,28.033046555608507,91.55666593431822,50,0.6112186222434024,matang
610,28.515359673081637,93.7023054248256,48,0.4053744117152156,matang
611,28.04586723272918,91.79513052876275,50,0.6163468930916722,matang
612,28.734257257152574,93.12658845195998,46,0.2624662389614807,matang
613,27.66291277230746,90.09057390099144,43,0.2613630148546766,matang
614,28.164245758301405,91.01363136254788,45,0.4763136254789005,matang
615,28.646879449900183,91.57654954371704,49,0.5006598123662799,matang
616,28.800240899756247,92.2884141820992,49,0.5253496128559297,matang
617,28.511277652324868,91.38588357354666,46,0.4406955200581808,matang
618,28.15488966861625,91.1085790773184,46,0.527224171540613,matang
619,27.96319175898413,88.3795624003651,39,0.3352123615238014,matang
620,28.819980320167225,93.23179402929614,46,0.2663627418257828,matang
621,28.8652186838584,91.209830738353,48,0.4077291813647999,matang
622,28.76237671075517,92.74225837911293,45,0.3933431943035215,matang
623,28.338781664015503,91.8387495142584,48,0.5058544426770025,matang
624,28.41397527256545,92.21027580600072,42,0.2460342379862967,matang
625,28.821260890360453,93.35285974150824,46,0.3385792245247654,matang
626,28.691909613403475,91.89394038482033,42,0.2490894227695045,matang
627,28.15019035030631,91.8780599801396,45,0.3711786186351321,matang
628,28.076504923934312,93.51348061693764,49,0.4501996925827033,matang
629,27.97357022338775,90.04941249488556,44,0.3304067343099968,matang
630,28.62099328147701,91.31,46,0.4822516796307485,matang
631,28.53383546959931,92.02710398516844,47,0.2892329060801384,matang
632,29.01092069176381,90.37882640779668,44,0.3339700485381218,matang
633,29.27450603703888,92.08097067723972,48,0.4950086243412547,matang
634,28.4582556841886,93.79785500104148,50,0.5411051053398979,matang
635,28.466133356466575,91.79420748194786,47,0.3467703498074863,matang
636,28.893807304711164,90.93808674147554,45,0.3178698877866722,matang
637,29.49673303834532,92.11574969422357,49,0.4539821210159678,matang
638,29.717195416476592,90.21541455560624,44,0.4005731805492197,matang
